no,Av.Pred,response
770,1.18E-11,0
771,0.001184156,0
772,0.014417581,0
773,1.982673668,1
774,1.739360783,1
775,1.668444997,1
776,0.000667512,0
777,0.003980891,0
778,0.000321774,0
779,8.36E-10,0
780,0.000510238,0
781,0.634862559,1
782,0.048872316,0
783,0.052321786,0
784,0.00030263,0
785,0.00105311,0
786,0.117311794,0
787,1.043627734,1
788,0.001110925,0
789,0.581685072,1
790,0.00125373,0
791,0.003701464,0
792,0.059588047,0
793,0.052101357,0
794,4.80E-05,0
795,0.286723026,1
796,0.02071326,0
797,0.003189876,0
798,0.011827013,0
799,0.257808575,1
800,0.001161015,0
801,0.092761989,0
802,0.002790681,0
803,0.039588405,0
804,0.268389596,1
805,0.242490577,1
806,0.038700309,0
807,0.000280832,0
808,0.417904133,1
809,0.491331421,1
810,0.000218126,0
811,0.327281157,1
812,0.00031929,0
813,0.001751938,0
814,0.359536548,1
815,0.045071659,0
816,0.000838187,0
817,0.005745536,0
818,0.002981735,0
819,0.001368834,0
820,0.677697472,1
821,0.001656815,0
822,0.000657546,0
823,0.003086601,0
824,0.003188976,0
825,0.791518797,1
826,0.003584391,0
827,0.002105445,0
828,0.032134234,0
829,0.008691612,0
830,0.000656014,0
831,0.135780312,0
832,0.004650344,0
833,0.003726946,0
834,0.442588896,1
835,0.417268066,1
836,0.014637152,0
837,0.00642762,0
838,0.022238594,0
839,0.056301722,0
840,0.072419049,0
841,0.063309054,0
842,0.109213071,0
843,0.000298644,0
844,0.004250253,0
845,0.001359039,0
846,0.586138117,1
847,0.205071429,1
848,0.015928965,0
849,0.029839243,0
850,0.000966953,0
851,0.246293526,1
852,0.000324995,0
853,7.45E-08,0
854,6.83E-05,0
855,0.028066568,0
856,0.275885201,1
857,0.010306624,0
858,0.882826466,1
859,0.135188259,0
860,0.135462578,0
861,0.006380012,0
862,0.02274827,0
863,0.737869174,1
864,0.002453929,0
865,0.000235845,0
866,0.006100295,0
867,0.162639717,1
868,3.86E-06,0
869,0.10154584,0
870,0.025720003,0
871,0.048315966,0
872,0.048889654,0
873,0.022378605,0
874,0.001560719,0
875,0.174535154,1
876,0.049736762,0
877,0.091886238,0
878,0.000942472,0
879,0.00240819,0
880,0.127038551,0
881,0.837579098,1
882,0.028225279,0
883,0.00573977,0
884,2.79E-08,0
885,0.004733968,0
886,0.003369528,0
887,0.01441622,0
888,0.197339346,1
889,1.79E-08,0
890,1.408044144,1
891,0.018575935,0
892,0.065720733,0
893,0.407241563,1
894,0.061284941,0
895,0.276160579,1
896,0.030573904,0
897,0.007914471,0
898,0.018018907,0
899,0.002374015,0
900,0.056478269,0
901,0.013016189,0
902,0.8018026,1
903,0.007077808,0
904,0.000588381,0
905,0.415176402,1
906,0.002887024,0
907,0.003302365,0
908,0.022138847,0
909,0.072368672,0
910,0.004268235,0
911,0.655699857,1
912,0.03123163,0
913,0.018259934,0
914,0.026505479,0
915,0.040773148,0
916,0.062130935,0
917,0.039343628,0
918,0.001192926,0
919,0.056944911,0
920,0.101358421,0
921,0.000265246,0
922,0.198687093,1
923,0.020602634,0
924,0.1301229,0
925,0.004386145,0
926,0.015464981,0
927,0.019017771,0
928,0.009346098,0
929,0.036131478,0
930,0.003810808,0
931,1.14E-12,0
932,0.255895823,1
933,0.004236186,0
934,0.001610611,0
935,0.001471782,0
936,3.63E-07,0
937,5.05E-05,0
938,0.0001572,0
939,1.097465559,1
940,0.800609665,1
941,0.159051373,1
942,0.513177512,1
943,0.011639877,0
944,3.60E-05,0
945,0.002096085,0
946,0.025302476,0
947,0.000667872,0
948,0.052735971,0
949,0.202807236,1
950,0.490461037,1
951,0.007950365,0
952,0.74720556,1
953,0.124052561,0
954,0.000447207,0
955,0.010295713,0
956,0.010304875,0
957,0.732722185,1
958,0.010224212,0
959,0.001523811,0
960,0.08456936,0
961,0.000168428,0
962,0.805348368,1
963,0.109474836,0
964,0.002254395,0
965,0.049729747,0
966,0.036316487,0
967,0.052029298,0
968,0.004416204,0
969,0.048977176,0
970,1.914275861,1
971,0.001164646,0
972,0.000592795,0
973,0.000260203,0
974,0.072023358,0
975,0.002062125,0
976,0.00166074,0
977,0.010359734,0
978,4.24E-05,0
979,0.000440958,0
980,0.053099617,0
981,0.224964103,1
982,0.012110419,0
983,2.502796437,1
984,0.001802385,0
985,0.00221934,0
986,0.000610705,0
987,0.009008821,0
988,0.693663463,1
989,0.028150456,0
990,0.048957605,0
991,0.028785243,0
992,0.04941178,0
993,0.000343293,0
994,0.052111237,0
995,0.318877791,1
996,0.273223598,1
997,0.099007785,0
998,0.036910853,0
999,0.197415577,1
1000,0.221145784,1
1001,1.465866718,1
1002,0.00047464,0
1003,0.096420479,0
1004,0.198317948,1
1005,1.95E-06,0
1006,0.034938235,0
1007,0.060655009,0
1008,0.699092243,1
1009,0.065678752,0
1010,8.53E-05,0
1011,0.00076113,0
1012,0.161739917,1
1013,0.004915349,0
1014,0.050463067,0
1015,0.000667901,0
1016,0.00229018,0
1017,0.668411502,1
1018,0.035323045,0
1019,0.0016071,0
1020,0.000528626,0
1021,0.066558205,0
1022,0.004362827,0
1023,8.54E-06,0
1024,4.60E-05,0
1025,0.051242543,0
1026,1.125032146,1
1027,0.056369127,0
1028,0.025103129,0
1029,0.036011298,0
1030,0.070177701,0
1031,0.000841798,0
1032,0.000341886,0
1033,0.169967678,1
1034,0.000663201,0
1035,0.001050073,0
1036,1.762025699,1
1037,0.452221524,1
1038,0.001437397,0
